"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"synaesthesis","","Inter-Arts Office","Digital Culture Fund","$30,000.00","08-FEB-2011","23-NOV-2010","TAS","AUSTRALIA","DENISON"
"Thoms, Lara","","Inter-Arts Office","Digital Culture Fund","$23,000.00","08-FEB-2011","23-NOV-2010","VIC","AUSTRALIA","MELBOURNE"
"Abel, Lucas","Lucas Abela","Inter-Arts Office","Inter-Arts Projects","$14,000.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","SYDNEY"
"Arena Theatre Company Ltd","","Inter-Arts Office","Inter-Arts Projects","$22,680.00","08-FEB-2011","01-DEC-2010","VIC","AUSTRALIA","BENDIGO"
"Bus Projects Inc","","Inter-Arts Office","Inter-Arts Projects","$17,929.00","08-FEB-2011","01-DEC-2010","VIC","AUSTRALIA","MELBOURNE"
"Campbelltown Arts Centre (t/u Campbelltown City Council)","Campbelltown Arts Centre","Inter-Arts Office","Inter-Arts Projects","$49,500.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","MACARTHUR"
"Critical Path Inc","","Inter-Arts Office","Inter-Arts Projects","$32,250.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","WENTWORTH"
"Haig, Ian","","Inter-Arts Office","Inter-Arts Projects","$17,470.00","08-FEB-2011","01-DEC-2010","VIC","AUSTRALIA","BATMAN"
"Ihlein, Lucas","","Inter-Arts Office","Inter-Arts Projects","$23,144.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","CUNNINGHAM"
"Lim, Eugenia","","Inter-Arts Office","Inter-Arts Projects","$15,330.00","08-FEB-2011","01-DEC-2010","VIC","AUSTRALIA","WILLS"
"Madeleine Flynn and Tim Humphrey","","Inter-Arts Office","Inter-Arts Projects","$20,000.00","08-FEB-2011","01-DEC-2010","VIC","AUSTRALIA","BATMAN"
"Next Wave Festival Inc","","Inter-Arts Office","Inter-Arts Projects","$50,200.00","08-FEB-2011","01-DEC-2010","VIC","AUSTRALIA","MELBOURNE"
"PVI Collective Ltd","aka CIA Studios","Inter-Arts Office","Inter-Arts Projects","$23,463.00","08-FEB-2011","01-DEC-2010","WA","AUSTRALIA","PERTH"
"Synnott, Adam","","Inter-Arts Office","Inter-Arts Projects","$3,697.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","SYDNEY"
"The Hosts","","Inter-Arts Office","Inter-Arts Projects","$20,000.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","GRAYNDLER"
"Vitalstatistix Incorporated","","Inter-Arts Office","Inter-Arts Projects","$25,000.00","08-FEB-2011","01-DEC-2010","SA","AUSTRALIA","PORT ADELAIDE"
"You Are Here","","Inter-Arts Office","Inter-Arts Projects","$14,450.00","08-FEB-2011","01-DEC-2010","NSW","AUSTRALIA","SYDNEY"
"Beaches","","Music Section","International Pathways","$13,809.00","08-FEB-2011","29-NOV-2010","VIC","AUSTRALIA","WILLS"
"Cloud Control","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","NSW","AUSTRALIA","GRAYNDLER"
"Deep Sea Arcade","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","NSW","AUSTRALIA","SYDNEY"
"Dyson, Mia","","Music Section","International Pathways","$10,000.00","08-FEB-2011","29-NOV-2010","VIC","AUSTRALIA","CORANGAMITE"
"Goldner String Quartet Pty Ltd","","Music Section","International Pathways","$19,500.00","08-FEB-2011","29-NOV-2010","NSW","AUSTRALIA","SYDNEY"
"PVT Music","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","NSW","AUSTRALIA","WENTWORTH"
"Slug Guts","","Music Section","International Pathways","$16,000.00","08-FEB-2011","29-NOV-2010","QLD","AUSTRALIA","BRISBANE"
"Soer, Jerry","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","CA","USA",""
"The Barons of Tang","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","VIC","AUSTRALIA","JAGAJAGA"
"Topology Inc","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","QLD","AUSTRALIA","BRISBANE"
"Washington","","Music Section","International Pathways","$20,000.00","08-FEB-2011","29-NOV-2010","NSW","AUSTRALIA","NORTH SYDNEY"
"Australian Broadcasting Corporation (ABC)","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$40,000.00","04-FEB-2011","30-JUN-2011","NSW","AUSTRALIA","SYDNEY"
"Circus Oz t/u Circus Australia Limited","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$120,000.00","02-FEB-2011","30-JUN-2011","VIC","AUSTRALIA","MELBOURNE"
"Queensland Theatre Company","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$40,000.00","02-FEB-2011","30-JUN-2011","QLD","AUSTRALIA","GRIFFITH"
"The Crack Theatre Festival","","Theatre  Section","2011 Crack Theatre Festival","$20,210.00","02-FEB-2011","01-APR-2011","NSW","AUSTRALIA","GRAYNDLER"
"Ranters Theatre Inc","","Arts Development Division","International Market Development - Programs","$30,000.00","01-FEB-2011","30-JUN-2011","VIC","AUSTRALIA","MELBOURNE PORTS"
"Biennale of Sydney Limited","","Visual Arts Section","Board Funded Initiatives","$110,000.00","01-FEB-2011","30-JUN-2008","NSW","AUSTRALIA","SYDNEY"
"Anna Schwartz Gallery","","Arts Development Division","International Market Development - Programs","$15,000.00","31-JAN-2011","30-JUN-2011","VIC","AUSTRALIA","MELBOURNE"
"Scholastic Australia Pty Ltd","","Arts Development Division","International Market Development - Programs","$4,350.00","27-JAN-2011","30-JUN-2011","NSW","AUSTRALIA","ROBERTSON"
"The Text Publishing Company Pty Ltd","Text Publishing","Arts Development Division","International Market Development - Programs","$4,950.00","27-JAN-2011","30-JUN-2011","VIC","AUSTRALIA","MELBOURNE"
"Arts Access Australia Limited","","Arts Organisations Division","Arts Funding CEF Key Organisations","$493,460.00","27-JAN-2011","30-JUN-2011","VIC","AUSTRALIA","MELBOURNE PORTS"
"Regional Arts Australia (trading under Arts Council of Australia)","Regional Arts Australia","Arts Organisations Division","Arts Funding CEF Key Organisations","$423,228.00","27-JAN-2011","30-JUN-2011","NT","AUSTRALIA","LINGIARI"
"Opera Queensland Ltd","OperaQ","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$10,000.00","27-JAN-2011","30-JUN-2011","QLD","AUSTRALIA","GRIFFITH"
"Australian Children's Performing Arts Company t/a Windmill","Windmill Performing Arts","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","SA","AUSTRALIA","ADELAIDE"
"Polyglot Theatre","","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","HIGGINS"
"PVI Collective Ltd","aka CIA Studios","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","WA","AUSTRALIA","PERTH"
"Ranters Theatre Inc","","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","MELBOURNE PORTS"
"Richardson, Steven","","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","WILLS"
"Snuff Puppets Inc","","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","GELLIBRAND"
"Strange Fruit Productions Inc","Strange Fruit","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","MELBOURNE"
"Well Productions Inc.","well; well done; well made","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","MELBOURNE"
"Williams, David","","Arts Development Division","International Market Development - Programs","$4,000.00","19-JAN-2011","10-DEC-2010","VIC","AUSTRALIA","DEAKIN"
"Theatre Network Australia Inc","","Theatre  Section","Establish the Australian Theatre Network","$40,000.00","19-JAN-2011","01-FEB-2011","VIC","AUSTRALIA","MELBOURNE PORTS"
"Marinos, Sophia","","Arts Development Division","International Market Development - Programs","$16,500.00","18-JAN-2011","30-JUN-2011","NSW","AUSTRALIA","SYDNEY"
"de Vietri, Gabrielle","","Visual Arts Section","Skills and Arts Development Kunstlerhaus Studio","$35,000.00","17-JAN-2011","16-AUG-2010","VIC","AUSTRALIA","MELBOURNE"
"Performing Lines Limited","Performing Lines","Arts Development Division","International Market Development - Programs","$10,320.00","12-JAN-2011","30-JUN-2011","NSW","AUSTRALIA","SYDNEY"
"Slingsby Theatre Company Ltd","Slingsby","Arts Development Division","International Market Development - Programs","$50,000.00","12-JAN-2011","30-JUN-2011","SA","AUSTRALIA","ADELAIDE"
"Avdal, Heine","","Arts Development Division","International Market Development - Programs","$4,350.00","24-DEC-2010","30-JUN-2011","","BELGIUM",""
"Opera Australia","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$19,000.00","22-DEC-2010","03-DEC-2010","NSW","AUSTRALIA","SYDNEY"
"Queensland Theatre Company","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$20,000.00","22-DEC-2010","03-DEC-2010","QLD","AUSTRALIA","GRIFFITH"
"Sydney Theatre Company Limited","STC","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$20,000.00","22-DEC-2010","03-DEC-2010","NSW","AUSTRALIA","SYDNEY"
"The Bell Shakespeare Company Ltd","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$19,900.00","22-DEC-2010","03-DEC-2010","NSW","AUSTRALIA","SYDNEY"
"Cook, Brian","The Manuscript Agency","Arts Development Division","International Market Development - Programs","$3,000.00","20-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","ROBERTSON"
"Curtis Brown (Aust) Pty Ltd","","Arts Development Division","International Market Development - Programs","$4,500.00","20-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","WENTWORTH"
"Margaret Connolly and Associates","","Arts Development Division","International Market Development - Programs","$6,900.00","20-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","BRADFIELD"
"The Mary Cunnane Agency Pty Ltd","","Arts Development Division","International Market Development - Programs","$4,300.00","20-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","EDEN-MONARO"
"Canberra Symphony Orchestra Incorporated","","Arts Organisations Major Performing Arts","Territory Orchestra Funding","$404,912.00","15-DEC-2010","31-DEC-2010","ACT","AUSTRALIA","CANBERRA"
"Fjord Review","","Arts Development Division","International Market Development - Programs","$1,500.00","14-DEC-2010","30-JUN-2011","VIC","AUSTRALIA","WILLS"
"Design Tasmania Limited","Design Centre Tasmania known as Design Tasmania","Arts Organisations Division","(OLD) Visual Arts VACS key organisations","$30,000.00","13-DEC-2010","30-JUN-2011","TAS","AUSTRALIA","BASS"
"Theatre Network Australia Inc","","Theatre  Section","Australian Theatre Forum 2011","$10,000.00","13-DEC-2010","01-NOV-2010","VIC","AUSTRALIA","MELBOURNE PORTS"
"Australia Latin America Foundation Limited","","Arts Development Division","International Market Development - Programs","$150,000.00","06-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","GRAYNDLER"
"Andonovska, Lina","Lina","Arts Funding Division","ArtStart","$9,745.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","FREMANTLE"
"Barton, Tom","Tom","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","GIPPSLAND"
"Berners, Sarah","","Arts Funding Division","ArtStart","$9,765.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Berry, Max","","Arts Funding Division","ArtStart","$9,919.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","SYDNEY"
"Beyer, Sue","Sue Beyer","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Boylan, Jessie","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BENDIGO"
"Bozic, Arabella","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","BRADFIELD"
"Bradley, Jacqueline","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","FENNER"
"Brescia, Linda","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","MCMAHON"
"Brooks, Andrew","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","NORTH SYDNEY"
"Brown, James","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","BARTON"
"Buck, Kim","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","SA","AUSTRALIA","BOOTHBY"
"Carmody, Rita","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WENTWORTH"
"Castiglione, Jackson","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Cher-Gibard, Marco","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Clements, Alicia","","Arts Funding Division","ArtStart","$9,500.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","FREMANTLE"
"Collins, Sarah","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","LA TROBE"
"Connors Dance, Rose","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","GELLIBRAND"
"Contos, Sarah","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WENTWORTH"
"Costantino, Thea","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","STIRLING"
"Crossley, Sean","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","BRUSSELS","BELGIUM",""
"D'Angelo, Sabrina","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Dadak, Anne-Louise","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","SYDNEY"
"Daller, Birgit","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","BEROWRA"
"Dawkins, Gemma","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","BEROWRA"
"Deegan, Jake","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","QLD","AUSTRALIA","BRISBANE"
"Delahunty, Danny","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Devine, Timothy","","Arts Funding Division","ArtStart","$9,999.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Dewey, Jarred","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","HIGGINS"
"Divaroren, Demet","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","LALOR"
"Duncan, Helen","","Arts Funding Division","ArtStart","$9,908.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","CORANGAMITE"
"Edmeades, Fiona","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WENTWORTH"
"Endean, Aviva","Aviva Endean","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Faulkner, Phoebe","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE PORTS"
"Fuller, Todd","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","SYDNEY"
"G'Froerer, Callum","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","FREMANTLE"
"Gage, Alice","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","SYDNEY"
"Garrett-Jones, Megan","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","BEDFORDSHIRE","UK",""
"Goot, Jordana Maisie","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WENTWORTH"
"Grant, Lee","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","FENNER"
"Green, Sharon","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","EAST SUSSEX","UK",""
"Greene, Declan","","Arts Funding Division","ArtStart","$8,500.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Hamann, Judith","","Arts Funding Division","ArtStart","$9,955.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","DEAKIN"
"Hansma, Jason - Hendrik","","Arts Funding Division","ArtStart","$9,950.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","BURT"
"Haslem, Dougal","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","JAGAJAGA"
"Haynes, Nicci","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","FENNER"
"Hill, Bettina","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","FENNER"
"Hopkins, Colin","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Hopkins, Teegan Lee","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WENTWORTH"
"Hull, Eliza","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BENDIGO"
"Ianssen, Chrissie","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","BENNELONG"
"Irving, Louise","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","PAGE"
"Kay, Martin","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Kellow, Oliver","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","CURTIN"
"Knezevic, Sime","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","MACARTHUR"
"Kolac, Alexandra","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Lane, Bonnie","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Lashmar, Emma","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","PERTH"
"Lee, Katie","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Little, Angela","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WARRINGAH"
"Loughnan, James","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","BANKS"
"Lucas, Jessica","Jess Lucas","Arts Funding Division","ArtStart","$9,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Mackinnon, William","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Makrab, Abbas","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","MCMAHON"
"Maurice, Kate","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","RICHMOND"
"Milner, John","Johnny Milner","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","FENNER"
"Montero, Jason","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Moore, Trudy","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Morphett, Kirsty","","Arts Funding Division","ArtStart","$9,300.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Moss, Katherine","Kate","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Newstead, Daniel","","Arts Funding Division","ArtStart","$7,729.00","03-DEC-2010","05-OCT-2010","QLD","AUSTRALIA","MORETON"
"Normoyle, Kusum","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","GRAYNDLER"
"O'Byrne, Anna","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE PORTS"
"O'Loughlin, Nicole","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","TAS","AUSTRALIA","DENISON"
"Phillips, Joshua","","Arts Funding Division","ArtStart","$7,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Phillipson, Tarrant","","Arts Funding Division","ArtStart","$4,653.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","FENNER"
"Powis, Simon","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","MACQUARIE"
"Reynolds, Anna","","Arts Funding Division","ArtStart","$8,462.00","03-DEC-2010","05-OCT-2010","NT","AUSTRALIA","LINGIARI"
"Robinson, Denise Ava","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","TAS","AUSTRALIA","DENISON"
"Rushworth, Paul","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","SYDNEY"
"Ryan, Kieran","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","QLD","AUSTRALIA","BRISBANE"
"Santangeli, Daniel","","Arts Funding Division","ArtStart","$9,544.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Scholes, Leah","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","BATMAN"
"Schwartz, Rohan","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","DEAKIN"
"Selby, Janet","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","HUGHES"
"Simons, Bethany","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Simpson, Lucy","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","GRAYNDLER"
"Spencer, Tania","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","WA","AUSTRALIA","O'CONNOR"
"Spencer, Tim","Tim Spencer","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","SYDNEY"
"Taylor, Deborah","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Taylor, Jodie","Jodee Taylah","Arts Funding Division","ArtStart","$9,800.00","03-DEC-2010","05-OCT-2010","QLD","AUSTRALIA","MCPHERSON"
"Taylor, Simon","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Terranova, Elise","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","QLD","AUSTRALIA","RYAN"
"Tierney, Matthew","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Tuckwell, Jessica","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NSW","AUSTRALIA","WENTWORTH"
"van Veldhuisen, Anna","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Veikkanen, Adam","","Arts Funding Division","ArtStart","$9,994.00","03-DEC-2010","05-OCT-2010","ACT","AUSTRALIA","CANBERRA"
"Welsby, James","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"West, Alexis","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","SA","AUSTRALIA","STURT"
"Whitling, Janine","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","QLD","AUSTRALIA","DAWSON"
"Williams, Ryan","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","WILLS"
"Williams, Susannah","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Wood, Lyn","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","SA","AUSTRALIA","PORT ADELAIDE"
"Wu, Annie","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Yabsley, Alex","Alex Yabsley","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","VIC","AUSTRALIA","MELBOURNE"
"Young, Samantha","","Arts Funding Division","ArtStart","$10,000.00","03-DEC-2010","05-OCT-2010","NT","AUSTRALIA","SOLOMON"
"Belvoir t/u Company B Limited","Belvoir","Arts Organisations Major Performing Arts","Interconnections and Development GRANTS","$30,000.00","03-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","SYDNEY"
"Sydney Theatre Company Limited","STC","Arts Organisations Major Performing Arts","Interconnections and Development GRANTS","$30,000.00","03-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","SYDNEY"
"Adelaide Symphony Orchestra Holdings Limited","Adelaide Symphony Orchestra","Arts Organisations Major Performing Arts","MPA Core Grants","$6,217,003.00","03-DEC-2010","30-NOV-2010","SA","AUSTRALIA","ADELAIDE"
"State Opera of South Australia","SOSA","Arts Organisations Major Performing Arts","MPA Core Grants","$1,358,310.00","03-DEC-2010","30-NOV-2010","SA","AUSTRALIA","HINDMARSH"
"State Theatre Company of South Australia","","Arts Organisations Major Performing Arts","MPA Core Grants","$542,021.00","03-DEC-2010","30-NOV-2010","SA","AUSTRALIA","ADELAIDE"
"Australian Major Performing Arts Group","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$12,000.00","03-DEC-2010","30-JUN-2011","NSW","AUSTRALIA","SYDNEY"
